Store,Core SKUs Availability,Shelf Space,Total Energy Drink Shelf Space,Comp#1 Shelf Space,Brand Visibility Condition,Brand Messaging Score,Price Comm Condition Score,Ambient Placement Condition Additional,Ambient Placements Additional,Comp#1 Placement Ambient  Additional,Chilled Placement Additional,Comp#1 Placement Chilled  Additional,Cashier Placement Cooler Condition,Cashier Coolers With SKU Available,Cashier Coolers With Comp#1 Available,Shelf Space Condition,POS Communication Condition,Available Placements Types In Store,Energy Shelf Space Share,Chilled Cashier Placement,Main Competitor SKU,Ambient Placement Additional ,Buying Group,Key Account,Distributor,Sales Gross,Sales Net,Actual Service Frequency,Volume 12pck,Volume 4pck,Volume 6pck,Volume Single,Volume,SKU Distribution
1003419225,100,3.8,16,6,100,0,100,0,0,1,0,0,0,0,0,67.7,62.5,1,23.4,0,33,0,788371,780008,5937,2160,2081,4,,,,195,195,15
1003419466,100,5,13,3.3,50,50,100,0,0,0,1,0,0,0,0,96.5,62.5,2,38.5,0,14,0,786531,786532,5904,2758,2568,4,,,,190,190,15
1003419574,100,5,11,2.5,100,100,100,100,1,0,0,0,100,1,0,100,100,3,45.5,1,18,1,786531,786532,5937,764,691,2,,2,,61,64,14
1003419578,66.7,5,5,0,100,0,100,100,1,0,1,1,0,0,0,100,62.5,3,100,0,0,1,786531,786532,5904,730,642,3,,4,,55,59,12
1003419595,100,6,12,2,75,25,100,100,2,0,1,0,100,1,0,100,62.5,4,50,1,15,1,786531,786532,5937,1734,1507,4,,2,,110,112,15
1003419639,86.7,6,15,3.8,100,66.7,100,100,1,0,0,0,100,1,1,100,87.5,3,41.4,1,15,1,780004,784104,5904,790,730,1,,,,41,41,15
1003419652,86.7,5,12,4.8,100,100,0,100,1,0,1,1,0,0,0,100,75,3,41.7,0,20,1,786531,786532,5908,1865,1655,2,,9,,122,132,14
1003419665,80,7,7,0,100,100,0,0,0,0,0,1,0,0,0,100,75,1,100,0,0,0,786531,786532,5904,546,465,1,,7,,85,92,10
1003419919,93.3,8,14,2.8,75,50,100,100,1,0,1,0,100,1,0,100,71.9,4,57.1,1,25,1,786531,786532,5937,1689,1450,5,,6,,106,112,15
1003419927,93.3,5,16,5,0,0,100,100,1,0,1,0,100,1,1,81.7,25,4,30.8,1,30,1,788371,780217,5901,2498,2408,4,,,4,229,233,15
1003419951,86.7,7,17,4.5,100,50,0,0,0,0,0,0,100,1,1,100,56.3,2,40.6,1,18,0,786531,786532,5904,554,483,2,,2,,45,47,11
1003420146,100,4,4,0,100,50,0,100,1,0,2,1,100,1,0,100,56.3,4,100,1,1,1,786531,786532,5904,1225,1108,2,,2,,77,79,13
1003420162,86.7,3,8,3.5,100,100,100,0,0,0,0,0,0,0,0,99.4,100,1,40,0,21,0,780004,784104,5937,723,712,2,,,,71,71,14
1003420164,100,5,7,0,100,100,0,100,1,0,1,0,0,0,1,100,75,3,71.4,0,1,1,786531,786532,5904,997,874,2,,23,,116,139,15
1003420535,80,5,15,5,100,0,100,0,0,0,0,0,0,0,0,62.9,62.5,1,32.8,0,28,0,780004,781412,5937,412,403,1,,,,57,57,15
1003421627,80,6,17,5,100,100,100,0,0,0,0,0,0,0,0,91.4,100,1,35.8,0,24,0,788371,780008,5908,2940,2838,4,,5,1,189,195,15
1003422487,86.7,8,8,0,100,0,0,0,0,0,0,0,100,1,0,100,37.5,2,100,1,1,0,786531,786532,5904,3950,3440,4,,5,,267,272,15
1003422950,93.3,6,21,3.5,50,100,100,0,0,0,1,0,0,0,1,77.5,81.3,2,28.6,0,18,0,786531,786532,5908,950,840,1,,1,,50,51,14
1003423065,100,5,9,3.3,100,0,100,0,0,0,0,0,100,1,0,100,62.5,2,55.6,1,23,0,786531,786532,5901,757,676,2,,4,,88,92,14
1003423142,86.7,4,11,3,66.7,100,100,100,1,1,0,0,100,1,0,94.1,87.5,3,37.2,1,20,1,780004,785637,5937,569,560,2,,1,,50,51,14
1003423268,100,5,5,0,100,100,100,100,1,0,0,2,100,1,0,100,100,3,100,1,1,1,786531,786532,5904,2393,2103,2,5,4,,149,158,15
1003423659,80,6,11,3,100,100,0,100,1,0,0,0,100,1,0,77.3,75,3,53.3,1,18,1,786531,786532,5908,1452,1306,2,,3,,104,107,15
1003424765,100,5,9,2.8,66.7,66.7,100,100,1,0,0,0,100,1,0,100,75,3,55.6,1,15,1,786531,786532,5904,3108,2746,5,,10,,174,184,15
1003425060,100,7,7,0,100,100,100,100,1,0,0,1,0,0,0,100,100,2,100,0,1,1,786531,786532,5937,1995,1849,4,,3,,146,149,15
1003425299,100,6,16,4.5,100,50,100,100,1,0,0,0,0,0,0,95.8,81.3,2,38.1,0,31,1,788371,780008,5908,1267,1220,4,,,,106,106,14
1003425304,93.3,5,8,2,100,100,0,0,0,0,0,2,100,1,0,100,75,2,62.5,1,14,0,786531,786532,5904,2400,2130,3,,9,,195,204,15
1003425305,100,4,16,5,100,0,100,100,1,0,0,0,0,0,0,70.7,62.5,2,25,0,29,1,788371,780008,5937,2430,2340,4,,,,200,200,15
1003425406,100,6,10,2,100,100,0,100,1,0,1,0,100,1,0,100,75,4,60,1,9,1,786531,786532,5904,1903,1668,4,2,6,,116,124,15
1003425563,100,6,7,0,50,50,100,100,1,0,1,1,100,1,0,100,62.5,4,88.9,1,1,1,786531,786532,5937,1714,1534,3,,3,,116,119,15
